slug,startDate,endDate,p_up,p_down
btc-updown-5m-1777821600,2026-05-02T15:28:37.71306Z,2026-05-03T15:25:00Z,0,1
btc-updown-5m-1777821900,2026-05-02T15:34:35.112859Z,2026-05-03T15:30:00Z,1,0
btc-updown-5m-1777822200,2026-05-02T15:39:20.303621Z,2026-05-03T15:35:00Z,0,1
btc-updown-5m-1777822500,2026-05-02T15:44:50.12652Z,2026-05-03T15:40:00Z,0,1
btc-updown-5m-1777822800,2026-05-02T15:49:10.3539Z,2026-05-03T15:45:00Z,1,0
btc-updown-5m-1777823100,2026-05-02T15:53:51.391465Z,2026-05-03T15:50:00Z,0,1
btc-updown-5m-1777823400,2026-05-02T15:59:09.690304Z,2026-05-03T15:55:00Z,0,1
btc-updown-5m-1777823700,2026-05-02T16:06:55.555082Z,2026-05-03T16:00:00Z,1,0
btc-updown-5m-1777824000,2026-05-02T16:08:51.274728Z,2026-05-03T16:05:00Z,1,0
btc-updown-5m-1777824300,2026-05-02T16:15:10.042185Z,2026-05-03T16:10:00Z,0,1
btc-updown-5m-1777824600,2026-05-02T16:18:40.004188Z,2026-05-03T16:15:00Z,0,1
btc-updown-5m-1777824900,2026-05-02T16:24:04.52951Z,2026-05-03T16:20:00Z,0,1
btc-updown-5m-1777825200,2026-05-02T16:28:38.061868Z,2026-05-03T16:25:00Z,1,0
btc-updown-5m-1777825500,2026-05-02T16:34:09.685269Z,2026-05-03T16:30:00Z,1,0
btc-updown-5m-1777825800,2026-05-02T16:38:55.314546Z,2026-05-03T16:35:00Z,1,0
btc-updown-5m-1777826100,2026-05-02T16:44:10.266904Z,2026-05-03T16:40:00Z,1,0
btc-updown-5m-1777826400,2026-05-02T16:49:27.835256Z,2026-05-03T16:45:00Z,0,1
btc-updown-5m-1777826700,2026-05-02T16:53:21.324707Z,2026-05-03T16:50:00Z,0,1
btc-updown-5m-1777827000,2026-05-02T16:59:07.239619Z,2026-05-03T16:55:00Z,0,1
btc-updown-5m-1777827300,2026-05-02T17:05:25.646781Z,2026-05-03T17:00:00Z,0,1
btc-updown-5m-1777827600,2026-05-02T17:11:35.38232Z,2026-05-03T17:05:00Z,0,1
btc-updown-5m-1777827900,2026-05-02T17:14:23.80565Z,2026-05-03T17:10:00Z,1,0
